name,comm_cost,complexity,type
explored-0,0.4635326400924322,6,explored
explored-1,0.16504188330444847,27,explored
explored-2,0.3314798767571733,17,explored
explored-3,0.39804785287887556,11,explored
explored-4,0.49445286924706344,14,explored
explored-5,0.3712870691315233,10,explored
explored-6,0.40512829770845393,7,explored
explored-7,0.2188603247962002,21,explored
explored-8,0.3946418255343733,17,explored
explored-9,0.5632461968033893,9,explored
explored-10,0.15308468130175257,12,explored
explored-11,0.382016657038321,5,explored
explored-12,0.27726747544771824,22,explored
explored-13,0.33880143141408325,13,explored
explored-14,0.4857741190063548,10,explored
explored-15,0.2768049136658324,17,explored
explored-16,0.4730775402785803,49,explored
explored-17,0.4507108928686052,7,explored
explored-18,0.1870907953013674,13,explored
explored-19,0.31724396623660067,9,explored
explored-20,0.4409919402721614,44,explored
explored-21,0.5079734739071828,7,explored
explored-22,0.4121764474613263,17,explored
explored-23,0.4387396495282112,17,explored
explored-24,0.37999470440978267,13,explored
explored-25,0.5109049040374865,8,explored
explored-26,0.5166690737531294,14,explored
explored-27,0.396386963219719,15,explored
explored-28,0.18372689196995973,19,explored
explored-29,0.2617044579241288,24,explored
explored-30,0.22905233005969583,22,explored
explored-31,0.22970224340458323,10,explored
explored-32,0.3350273204313501,26,explored
explored-33,0.40114095898324686,16,explored
explored-34,0.3868428653957251,10,explored
explored-35,0.20590217600616234,13,explored
explored-36,0.31668431863405877,14,explored
explored-37,0.3080549136658324,22,explored
explored-38,0.34004910456383597,16,explored
explored-39,0.30577700751010983,16,explored
explored-40,0.500938763720393,13,explored
explored-41,0.4017637926054306,17,explored
explored-42,0.5417469028820849,17,explored
explored-43,0.5628598594261507,41,explored
explored-44,0.32310261409589847,49,explored
explored-45,0.40384893125361065,12,explored
explored-46,0.3812752744078569,16,explored
explored-47,0.5146483246678222,47,explored
explored-48,0.19180467295718617,14,explored
explored-49,0.34384447814365504,23,explored
explored-50,0.4690737531292124,10,explored
explored-51,0.46882823031003285,7,explored
explored-52,0.19099027537069158,17,explored
explored-53,0.5397169266320048,9,explored
explored-54,0.2864763864818025,28,explored
explored-55,0.4736263559920406,12,explored
explored-56,0.4756824090121319,18,explored
explored-57,0.5094125104307081,20,explored
